train_number,train_name,source,destination,running_days
12285,NZM DURONTO  EX,SECUNDERABAD JN,H NIZAMUDDIN,1001
12284,NZM ERS DURONTO,H NIZAMUDDIN,ERNAKULAM JN,10
12283,ERS NZM DURONTO,ERNAKULAM JN,H NIZAMUDDIN,100000
12282,BBS DURONTO EXP,NEW DELHI,BHUBANESWAR,1000
12286,NZM SC DURONTO,H NIZAMUDDIN,SECUNDERABAD JN,1000100
12290,NGP CSMT DURONTO,NAGPUR,C SHIVAJI TERM MUMBAI,1111111
12289,CSMT NGP DURONTO,C SHIVAJI TERM MUMBAI,NAGPUR,1111111
12294,ALD LTT DURONTO,PRAYAGRAJ JN,LOKMANYATILAK T,100010
12297,PUNE DURONTO,AHMEDABAD JN,PUNE JN,100101
22201,DURONTO EXPRESS,SEALDAH,PURI,1010100
12298,ADI DURONTO EXP,PUNE JN,AHMEDABAD JN,1001010
22202,DURONTO EXPRESS,PURI,SEALDAH,101010
22209,NZM DURONTO,MUMBAI CENTRAL,H NIZAMUDDIN,1000100
22204,VSKP DURONTO,SECUNDERABAD JN,VISAKHAPATNAM,1010010
22210,MMCT DURONTO,H NIZAMUDDIN,MUMBAI CENTRAL,100010
22214,DURONTO EXPRESS,PATNA JN,SHALIMAR,101010
22213,SHM PNBE DURONTO,SHALIMAR,PATNA JN,1010100
12236,ANVT MDP HUMSFR,ANAND VIHAR TRM,MADHUPUR JN,1000
12235,HUMSAFAR EXP,MADHUPUR JN,ANAND VIHAR TRM,100
12276,NDLS ALD HUMSAFAR,NEW DELHI,PRAYAGRAJ JN,1010110
12275,PRYJ NDLS HUMSAFAR,PRAYAGRAJ JN,NEW DELHI,101101
12349,NDLS HUMSAFAR,GODDA,NEW DELHI,1000000
12350,GODA HUMSAFAR,NEW DELHI,GODDA,100000
12504,AGTL SMVB HUMSAFAR,AGARTALA,SMVT BENGALURU,100010
12595,ANVT HUMSAFAR,GORAKHPUR JN,ANAND VIHAR TRM,1101000
12503,AGTL HUMSAFAR,SMVT BENGALURU,AGARTALA,100100
12751,NED JAT HUMSAFAR,H SAHIB NANDED,JAMMU TAWI,100
12596,GKP HUMSAFAR,ANAND VIHAR TRM,GORAKHPUR JN,110100
12752,JAT NED HUMSAFAR,JAMMU TAWI,H SAHIB NANDED,1
12998,BME BDTS HUMSAFAR,BARMER,BANDRA TERMINUS,1000
12997,BARMER HUMSAFAR,BANDRA TERMINUS,BARMER,10000
13115,SDAH JPE HUMSAFAR,SEALDAH,JALPAIGURI ROAD,100
13116,SDAH HUMSAFAR EXP,JALPAIGURI ROAD,SEALDAH,10
13424,AII BGP EXP,AJMER JN,BHAGALPUR,10
13423,BGP AII EXPRESS,BHAGALPUR,AJMER JN,1000
15706,CHAMPARAN HMSFR,DELHI,KATIHAR JN,100100
15705,CHAMPARAN HUMSFR,KATIHAR JN,DELHI,1001000
16320,KCVL HUMSAFAR,SMVT BENGALURU,TRIVANDRUM NORTH,101
17439,CHE HUMSAFAR EXP,TIRUPATI,SRIKAKULAM ROAD,1
16319,BAND HUMSAFAR,TRIVANDRUM NORTH,SMVT BENGALURU,1010
17440,HUMSAFAR EXPRES,SRIKAKULAM ROAD,TIRUPATI,1000000
19668,UDZ HUMSAFAR EXP,MYSORE JN,UDAIPUR CITY,1000
19667,MYS HUMSAFAR EXP,UDAIPUR CITY,MYSORE JN,1000000
20481,TPJ SF HUMSAFAR,JODHPUR JN,TIRUCHCHIRAPALI,10000
19669,PPTA HUMSAFAR,UDAIPUR CITY,PATLIPUTRA,10000
19670,HUMSAFAR EXPRESS,PATLIPUTRA,UDAIPUR CITY,100
19091,GKP HUMSAFAR,BANDRA TERMINUS,GORAKHPUR JN,1000000
20482,BGKT HUMSAFAR,TIRUCHCHIRAPALI,JODHPUR JN,10
20497,FZR HUMSAFAR,RAMESWARAM,FIROZPUR CANT,100000
20498,FZR RMM HUMSAFAR,FIROZPUR CANT,RAMESWARAM,10
20827,JBP SRC HUMSAFR,JABALPUR,SANTRAGACHI JN,1000
20821,PUNE SRC HUMSAFR,PUNE JN,SANTRAGACHI JN,1000000
20828,HUMSAFAR EXP,SANTRAGACHI JN,JABALPUR,10000
20889,HUMSAFAR  EXP,HOWRAH JN,TIRUPATI,10
20890,HWH HUMSAFAR SF,TIRUPATI,HOWRAH JN,1
20822,PUNE HUMSAFAR,SANTRAGACHI JN,PUNE JN,10
20915,LPI INDB HUMSAFR,CHARLAPALLI,INDORE JN BG,1
20916,INDB LPI HUMSAFR,INDORE JN BG,CHARLAPALLI,10
20923,GIMB HUMSAFAR,TIRUNELVELI JN,GANDHIDHAM BG,1000
20917,PURI HUMSAFAR EX,INDORE JN BG,PURI,100000
20924,TEN HUMSAFAR,GANDHIDHAM BG,TIRUNELVELI JN,1000000
20918,INDB HUMSAFAR EX,PURI,INDORE JN BG,1000
20943,BGKT HUMSAFAR,BANDRA TERMINUS,BHAGAT KI KOTHI,1000
20944,BDTS HUMSAFAR,BHAGAT KI KOTHI,BANDRA TERMINUS,100
21901,BARMER HUMSAFAR,BANDRA TERMINUS,BARMER,100
21902,BDTS HUMSAFAR,BARMER,BANDRA TERMINUS,10
22139,AJNI HUMSAFAR,PUNE JN,AJNI,10
22141,NAGPUR HUMSAFAR,PUNE JN,NAGPUR,1000
22169,HBJ SRC HUMSAFAR,RANI KAMLAPATI,SANTRAGACHI JN,10000
22170,SRC HBJ HUMSAFAR,SANTRAGACHI JN,RANI KAMLAPATI,1000
22140,PUNE HUMSAFAR,AJNI,PUNE JN,1
22171,PUNE HBJ HUMSAFR,PUNE JN,RANI KAMLAPATI,1
22172,HBJ PUNE HUMSAFR,RANI KAMLAPATI,PUNE JN,10
22142,PUNE HUMSAFAR,NAGPUR,PUNE JN,100
22317,HUMSAFAR EXP,SEALDAH,JAMMU TAWI,1000000
22318,SDAH HUMSAFAR,JAMMU TAWI,SEALDAH,10000
22437,ANVT HUMSAFAR,PRAYAGRAJ JN,ANAND VIHAR TRM,1010010
22438,PRYJ HUMSAFAR,ANAND VIHAR TRM,PRAYAGRAJ JN,101001
22353,HUMSAFAR EXP,PATNA JN,SMVT BENGALURU,1000
22354,HUMSAFAR EXP,SMVT BENGALURU,PATNA JN,1
22460,B V DHAM HUMSAFR,ANAND VIHAR TRM,MADHUPUR JN,1000000
22459,HUMSAFAR EXP,MADHUPUR JN,ANAND VIHAR TRM,100000
22497,TPJ HUMSAFAR SUP,SHRI GANGANAGAR,TIRUCHCHIRAPALI,1000000
22498,SGNR HUMSAFAR SF,TIRUCHCHIRAPALI,SHRI GANGANAGAR,100
22705,JAT HUMSAFAR SF,TIRUPATI,JAMMU TAWI,100000
22833,HUMSAFAR EXPRESS,BHUBANESWAR,SMVT BENGALURU,10000
22834,BBS HUMSAFAR,SMVT BENGALURU,BHUBANESWAR,1000
22867,HUMSAFAR EXP,DURG,H NIZAMUDDIN,100100
22868,DURG HUMSAFAR,H NIZAMUDDIN,DURG,10010
22706,TPTY HUMSAFAR,JAMMU TAWI,TIRUPATI,100
22887,SMVB HUMSAFAR EXP,HOWRAH JN,SMVT BENGALURU,100000
22888,HWH HUMSAFAR EXP,SMVT BENGALURU,HOWRAH JN,1000
22913,SHC HUMSAFAR,BANDRA TERMINUS,SAHARSA JN,1
22920,ADI MAS HUMSAFAR,AHMEDABAD JN,CHENNAI CENTRAL,1000000
22914,BDTS HUMSAFAR,SAHARSA JN,BANDRA TERMINUS,100000
22923,JAM HUMSAFAR,BANDRA TERMINUS,JAMNAGAR,1001010
22985,RAJ HUMSAFAR EXP,UDAIPUR CITY,DELHI S ROHILLA,1
22986,RAJ HUMSAFAR EXP,DELHI S ROHILLA,UDAIPUR CITY,1
12113,NAGPUR GARIBRATH,PUNE JN,NAGPUR,1010010
22924,BDTS HUMSAFAR,JAMNAGAR,BANDRA TERMINUS,100101
12114,PUNE GARIBRATH,NAGPUR,PUNE JN,100101
12201,KCVL GARIB RATH,LOKMANYATILAK T,TRIVANDRUM NORTH,1000100
12188,JBP GARIB RATH,C SHIVAJI TERM MUMBAI,JABALPUR,101001
12202,LTT GARIB RATH,TRIVANDRUM NORTH,LOKMANYATILAK T,1001
12187,MUMBAI GARIBRATH,JABALPUR,C SHIVAJI TERM MUMBAI,1010010
12203,GARIB RATH EXP,SAHARSA JN,AMRITSAR JN,1001001
12207,JAMMU GARIB RATH,KATHGODAM,JAMMU TAWI,100000
12204,SHC GARIB RATH,AMRITSAR JN,SAHARSA JN,10011
12208,KGM GARIB RATH,JAMMU TAWI,KATHGODAM,1
12211,ANVT GARIB RATH,MUZAFFARPUR JN,ANAND VIHAR TRM,100
12212,MFP GARIB RATH,ANAND VIHAR TRM,MUZAFFARPUR JN,10000
12215,DEE BDTS G RATH,DELHI S ROHILLA,BANDRA TERMINUS,1101010
12216,DEE GARIBRATH,BANDRA TERMINUS,DELHI S ROHILLA,110101
12257,KOCHUVELI GR,YESVANTPUR JN,TRIVANDRUM NORTH,101001
12435,JYG ANVT G RATH,JAYNAGAR,ANAND VIHAR TRM,1000100
12258,YESVANTPUR EXP,TRIVANDRUM NORTH,YESVANTPUR JN,1010100
12436,JYG GARIB RATH,ANAND VIHAR TRM,JAYNAGAR,100010
12501,AGTL GARIB RATH,KOLKATA,AGARTALA,1
12502,KOAA GARIB RATH,AGARTALA,KOLKATA,10000
12517,GHY GARIB RATH,KOLKATA,GUWAHATI,1000
12518,KOAA GARIB RATH,GUWAHATI,KOLKATA,10
12536,LJN GARIBRATH,RAIPUR JN,LUCKNOW NE,100100
12594,LJN GARIB RATH,BHOPAL JN,LUCKNOW NE,1
12535,LJN R GARIBRATH,LUCKNOW NE,RAIPUR JN,1001000
12593,LJN BPL G RATH,LUCKNOW NE,BHOPAL JN,10
12612,MAS GARIB RATH,H NIZAMUDDIN,CHENNAI CENTRAL,1000000
12611,NZM GARIB RATH,CHENNAI CENTRAL,H NIZAMUDDIN,10
12739,VSKP GARIB RATH,VISAKHAPATNAM,SECUNDERABAD JN,1111111
12740,VSKP GARIB RATH,SECUNDERABAD JN,VISAKHAPATNAM,1111111
12878,NDLS RNC G RATH,NEW DELHI,RANCHI,101001
12909,NZM GARIB RATH,BANDRA TERMINUS,H NIZAMUDDIN,101010
12910,BDTS GARIB RATH,H NIZAMUDDIN,BANDRA TERMINUS,10101
12882,PURI HWH G RATH,PURI,SHALIMAR,1010000
12881,HWH PURI G RATH,SHALIMAR,PURI,101000
12984,CDG AII G RATH,CHANDIGARH,AJMER JN,1010010
12983,AII CDG G RATH,AJMER JN,CHANDIGARH,100101
13127,ARA GARIB RATH,KOLKATA,ARA JN,101010
13128,KOL GARIB RATH,ARA JN,KOLKATA,10101
22406,BGP GARIB RATH,ANAND VIHAR TRM,BHAGALPUR,1010100
22409,ANVT GARIB RATH,GAYA JN,ANAND VIHAR TRM,1
22542,BSBS GARIB RATH,ANAND VIHAR TRM,BANARAS,1000100
